No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-18APM16000D232------------,9425,0,15 Agt 2022,0,9525,9425,9425,0,1876700,17781645000,1575,765.7,9450,8400,9425,136800,1924688333,1924688333,390711732,733800,402400,36,339300,1
2,ABBA,Mahaka Media Tbk.,--U-2105000000E614------------,276,0,15 Agt 2022,0,300,278,288,12,176459800,51210735200,7451,636.3,290,6882400,288,50016400,3935892857,3935892857,1342926643,7092500,17018100,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412-----------X,6050,0,15 Agt 2022,0,6050,6050,6050,0,500,3025000,2,1381.2,6025,100,5675,200,620806680,620806680,78594126,500,0,0,0,0
4,ABMM,ABM Investama Tbk.,--M-1175000000C311------------,2440,0,15 Agt 2022,0,2480,2420,2450,10,1870500,4575866000,766,65.3,2450,6200,2440,11800,2753165000,2753165000,568803889,200500,738800,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--M-187EMD0000E743------------,740,0,15 Agt 2022,0,765,725,730,-10,75382200,55809206500,9318,890.2,730,941300,725,1264300,17150000000,17150000000,6835990000,19952500,24279500,0,0,0
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,190,0,15 Agt 2022,0,200,190,194,4,40637800,7968080900,7704,14.3,195,38800,194,265900,12675160000,12675160000,2259981028,0,55000,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,78,0,15 Agt 2022,0,80,77,77,-1,55172500,4315356600,2473,59.2,78,1742100,77,390000,22222222200,22222222200,2222222220,36700,820300,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,6150,0,15 Agt 2022,0,6200,6075,6125,-25,105400,647925000,141,318.2,6175,2300,6125,8800,589896800,589896800,48961434,10500,2500,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1835V50000J211------------,790,0,15 Agt 2022,0,825,790,805,15,47501000,38521629500,5587,632.2,810,409300,805,1637400,3560849376,3560849376,1744816194,3886800,3386900,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F200000G211------------,8175,0,15 Agt 2022,0,8175,8150,8175,0,72700,593885000,95,351.6,8200,17500,8175,500,1000000000,1000000000,79100000,2300,0,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,174,0,15 Agt 2022,0,176,174,175,1,287700,50357900,96,15.6,175,95800,174,169400,3889179559,3889179559,520372225,0,0,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2100000000A121------------,1805,0,15 Agt 2022,0,1850,1775,1785,-20,73268200,132703038000,10631,1785.0,1785,1071400,1780,238200,40882331500,40882331500,6606584770,14113000,3354500,0,0,0
13,ADRO,Adaro Energy Indonesia Tbk.,--MO1XDAQG0000A121------------,3190,3220,15 Agt 2022,3220,3240,3150,3160,-30,53868300,172011961000,7957,287.3,3170,260200,3160,536100,31985962000,31985962000,13981063990,18046700,9945000,160,509770,5
14,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231------------,314,0,15 Agt 2022,0,318,296,318,4,4000,1258200,12,289.1,318,5500,304,1100,1000000000,1000000000,250200000,0,0,0,0,0
15,AGII,Aneka Gas Industri Tbk.,XDM-1835F20000B111------------,2300,0,15 Agt 2022,0,2320,2140,2200,-100,11905400,26209069000,4900,200.0,2210,79000,2200,950000,3066660000,3066660000,597385368,1663300,2045500,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1805300000G111------------,830,0,15 Agt 2022,0,840,810,815,-15,23747500,19488719000,3661,1357.9,820,307600,815,1033400,22520272963,22520272963,3193374706,7901400,1446600,0,0,0
17,AGRS,Bank IBK Indonesia Tbk.,XRU-2105000000G111------------,113,0,15 Agt 2022,0,114,112,113,0,19266400,2175416300,505,146.2,113,3994600,112,3623700,17481603282,17481603282,2207937005,207000,20000,0,0,0
18,AHAP,Asuransi Harta Aman Pratama Tbk.,XRU-2100000000G412------------,95,0,15 Agt 2022,0,102,89,99,4,113754600,11079779600,5803,475.5,99,1008700,98,2066200,3123689008,3123689008,909930000,33100,50000,0,0,0
19,AIMS,Akbar Indo Makmur Stimec Tbk,--U-2130000000A121------------,280,0,15 Agt 2022,0,280,262,262,-18,425900,111826400,314,209.6,262,122400,0,0,220000000,220000000,38786000,0,0,0,0,0
20,AISA,FKS Food Sejahtera Tbk.,--U-1135000000D222------------,151,0,15 Agt 2022,0,154,150,151,0,6275200,955092000,459,18.4,152,28700,151,13300,9311800000,9311800000,2576575060,3005200,2000,0,0,0
21,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-2100000000E512-------Y---X,50,0,15 Agt 2022,0,50,50,50,0,729300,36465000,1332,75.9,50,30383300,0,0,6449463636,6449463636,1663316672,0,0,0,0,0
22,AKPI,Argha Karya Prima Industry Tbk.,--U-2130000000B113------------,1575,0,15 Agt 2022,0,1575,1540,1540,-35,16900,26354000,48,203.1,1545,1200,1540,100,612248000,612248000,26816462,0,0,0,0,0
23,AKRA,AKR Corporindo Tbk.,XDM-18AXM46000A112------------,1190,0,15 Agt 2022,0,1200,1170,1185,-5,27509800,32543622500,3625,4722.2,1185,1346900,1180,400,20073474600,20073474600,7491420721,8088500,4762800,0,0,0
24,AKSI,Mineral Sumberdaya Mandiri Tbk.,--U-2130000000K211------------,274,0,15 Agt 2022,0,272,268,270,-4,43100,11570000,113,135.0,272,2700,270,500,720000000,720000000,57528000,0,0,0,0,0
