Stock Code,Tahun,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des
AALI,2019,18.39,-11.43,-9.48,-3.12,-2.99,-1.42,-4.09,5.26,2.62,06.03,10.28,15.67
AALI,2020,-18.52,-17.47,-44.9,12.96,21.31,11.15,17.93,4.9,0,6.88,13.33,0
AALI,2021,-9.33,0.67,-10.89,-6.98,-5.36,-13.88,4.61,6.29,15.68,9.72,-6.99,-4.76
AALI,2022,4.21,14.65,10.57,-0.4,-4,-18.33,-1.53,-5.18,-9.84,03.03,-2.06,-3.6
AALI,2023,2.49,0.91,-2.41,-4.63,-8.74,06.03,1.34,0.33,-1.32,-6,7.8,-7.57
ABBA,2019,14.58,-8.18,-11.88,53.93,-2.92,31.58,-11.43,-9.03,-6.38,09.09,-20.83,-7.02
ABBA,2020,-28.3,-34.21,2,-1.96,0,0,0,0,0,0,42,15.49
ABBA,2021,-31.71,32.14,135.14,48.28,-4.65,-3.25,152.1,10,-18.94,-5.61,-20.79,-11.5
ABBA,2022,-11.86,-1.28,-7.14,-27.27,-7.21,20.21,3.45,3.33,-13.71,-12.62,-5.35,-14.69
ABBA,2023,-16.56,2.38,-10.85,-6.09,-14.81,-1.09,-7.69,-11.9,8.11,-8.75,-6.85,-23.53
ABDA,2019,-34.05,13.59,10.05,20,-8.7,11.11,0,0,-0.36,0,0,0
ABDA,2020,-2.51,2.57,-20.07,0,3.14,4.35,17.08,-1.78,-4.35,-2.27,-7.36,-6.69
ABDA,2021,5.83,10.17,8.46,-0.35,0.36,0,-1.42,0,0,0,-5.4,-11.03
ABDA,2022,30.77,-13.73,-3.03,-2.34,-5.6,0,08.05,-10.59,5.7,11.2,0,0
ABDA,2023,0,-2.99,-0.38,-0.39,0,0,-5.43,0,0,-1.64,-1.67,-1.69
ABMM,2019,-1.32,-1.79,-1.82,-5.56,-13.24,12.99,-7.75,-1.63,12.4,-26.47,-3.33,5.52
ABMM,2020,-5.56,02.08,-2.71,0.35,3.12,-5.72,-23.21,-11.16,-13.09,0.6,-15.57,7.8
ABMM,2021,-5.92,4.9,3.33,-2.58,9.27,-3.03,55,9.27,-11.44,20,0.69,-2.07
ABMM,2022,-0.7,24.47,0.57,56.37,10.51,-26.89,17.49,4.96,44,-0.25,-7.09,-10.63
ABMM,2023,-3.96,-10.48,12.41,5.36,-16.77,10.43,19.22,7.1,0.51,-3.05,-11.52,0.59
ACES,2019,14.09,3.24,1.42,-7.3,5.15,4.32,1.38,-5.99,2.61,-4.52,-6.51,-5.38
ACES,2020,15.05,-11.92,-14.19,16.92,2.3,-2.89,15.89,-11.71,3.24,-1.88,1.28,8.2
ACES,2021,-9.04,-2.24,0,-2.95,01.01,-16.39,5.6,5.3,-8.63,11.02,-7.45,-1.92
ACES,2022,-3.52,-13.36,-4.21,1.95,-8.13,-19.79,-7.79,1.41,-15.28,-7.38,-11.5,-0.8
