No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-1M3EM2000012--------------,10700,0,10 Nov 2020,0,10900,10750,10775,75,2392100,25903750000,2116,875.3,10800,1600,10775,86900,1924688333,1924688333,1924688333,695300,191300,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-210000000095---E----------,50,0,10 Nov 2020,0,50,50,50,0,352100,17605000,25,87.7,50,6747400,0,0,2755125000,2755125000,2755125000,0,0,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-210500000084--------------,6450,0,10 Nov 2020,0,0,0,6450,0,0,0,0,1472.5,6450,700,0,0,620806680,620806680,620806680,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--U-110500000098--------------,805,0,10 Nov 2020,0,805,795,805,0,13800,11006000,15,21.5,805,13200,795,5400,2753165000,2753165000,2753165000,0,0,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,--MO1XKPMA000093--M-----------,1630,1660,10 Nov 2020,1650,1730,1640,1700,70,23966500,40704558500,5399,2073.2,1705,997400,1700,24500,17150000000,17150000000,17150000000,6006600,11485000,2500000,4280000000,1
6,ACST,Acset Indonusa Tbk.,--U-113000000062--------------,195,0,10 Nov 2020,0,204,194,199,4,132161100,26345979800,4876,14.7,200,1176000,199,10100800,6425160000,6425160000,6425160000,1575700,887500,0,0,0
7,ADES,Akasha Wira International Tbk.,--U-213000000051--------------,1210,0,10 Nov 2020,0,1230,1205,1225,15,205100,249265500,117,63.6,1230,14400,1225,19900,589896800,589896800,589896800,0,0,0,0,0
8,ADHI,Adhi Karya (Persero) Tbk.,--M-18AF80000062--------------,630,0,10 Nov 2020,0,680,635,670,40,62650900,41213904000,5045,526.2,670,1020100,665,687800,3560849376,3560849376,3560849376,215400,1637100,0,0,0
9,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F00000082--------------,7750,0,10 Nov 2020,0,7800,7700,7750,0,266400,2066520000,302,333.3,7750,67300,7725,16200,1000000000,1000000000,1000000000,175800,7900,0,0,0
10,ADMG,Polychem Indonesia Tbk,--U-113000000034--------------,145,0,10 Nov 2020,0,149,143,144,-1,7029600,1026031200,489,12.9,145,22000,144,158300,3889179559,3889179559,3889179559,0,0,0,0,0
11,ADRO,Adaro Energy Tbk.,--MO1XDCU1000021--------------,1130,1150,10 Nov 2020,1145,1155,1130,1140,10,61432600,69970556000,7629,103.6,1140,2770900,1135,1518000,31985962000,31985962000,31985962000,5629300,18283900,10106,12120470,3
12,AGAR,Asia Sejahtera Mina Tbk.,--U-213000000091--------------,490,0,10 Nov 2020,0,510,500,500,10,700,351000,6,454.5,500,11600,0,0,1000000000,1000000000,1000000000,700,0,0,0,0
13,AGII,Aneka Gas Industri Tbk.,--M-113500000034--------------,750,0,10 Nov 2020,0,800,745,780,30,3426100,2653172000,300,70.9,780,1157700,775,12600,3066660000,3066660000,3066660000,918000,46600,0,0,0
14,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,--M-110500000081--------------,374,0,10 Nov 2020,0,384,376,380,6,53295700,20205437200,3770,620.8,382,3604200,380,1229500,21129857328,21129857328,21129857328,21800,3520100,0,0,0
15,AGRS,Bank IBK Indonesia Tbk.,--U-210500000081--------------,163,0,10 Nov 2020,0,167,162,163,0,22900,3771500,31,148.2,165,7500,162,2200,11154923542,11154923542,11728776913,0,0,0,0,0
16,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-210000000084--------------,58,0,10 Nov 2020,0,58,55,58,0,76300,4287100,19,218.7,58,28700,57,100,2940000000,2940000000,2940000000,0,0,0,0,0
17,AIMS,Akbar Indo Makmur Stimec Tbk,--U-210000000091--------------,120,0,10 Nov 2020,0,156,120,155,35,8100,996100,14,124.0,155,3700,154,200,220000000,220000000,220000000,0,0,0,0,0
18,AISA,Tiga Pilar Sejahtera Food Tbk.,--U-110000000051---E----------,218,0,10 Nov 2020,0,222,216,216,-2,17766000,3856427400,957,26.3,218,2523200,216,8059500,7168452380,7168452380,7168452380,1638000,938000,0,0,0
19,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-210000000094--------------,50,0,10 Nov 2020,0,50,50,50,0,200,10000,2,75.9,50,3628500,0,0,6449463636,6449463636,6449463636,0,0,0,0,0
20,AKPI,Argha Karya Prima Industry Tbk.,--U-213000000035--------------,288,0,10 Nov 2020,0,314,300,300,12,24900,7810000,10,39.6,302,200,300,2100,680000000,680000000,680000000,0,0,0,0,0
21,AKRA,AKR Corporindo Tbk.,--MO1X3XM0000091--------------,2710,2760,10 Nov 2020,2760,2850,2750,2840,130,34092000,96130365000,5141,2263.5,2850,489300,2840,1785300,4014694920,4014694920,4014694920,770100,9204700,0,0,0
22,AKSI,Maming Enam Sembilan Mineral Tbk.,--U-213000000074--------------,378,0,10 Nov 2020,0,380,376,376,-2,42300,15988600,10,188.0,378,38200,354,200,720000000,720000000,720000000,0,0,0,0,0
23,ALDO,Alkindo Naratama Tbk.,--U-213000000038--------------,416,0,10 Nov 2020,0,416,416,416,0,100200,41683200,3,304.9,416,53200,0,0,1100000000,1100000000,1100000000,0,0,0,0,0
24,ALKA,Alakasa Industrindo Tbk,--U-213000000033--------------,260,0,10 Nov 2020,0,324,260,322,62,10900,2949000,11,54.2,322,5100,280,2100,507665055,507665055,507665055,0,0,0,0,0
25,ALMI,Alumindo Light Metal Industry Tbk.,--U-210000000033---E----------,226,0,10 Nov 2020,0,232,222,232,6,6700,1546200,6,35.7,240,1000,232,9600,616000000,616000000,616000000,0,0,0,0,0
26,ALTO,Tri Banyan Tirta Tbk.,--U-110000000051--------------,288,0,10 Nov 2020,0,350,270,340,52,71800,20713600,12,169.9,350,3500,274,500,2191870558,2191870558,2191870558,0,1000,0,0,0
27,AMAG,Asuransi Multi Artha Guna Tbk.,--U-210500000084--------------,212,0,10 Nov 2020,0,210,206,210,-2,108400,22591800,40,200.0,210,25500,208,4900,5001552516,5001552516,5001552516,0,0,0,0,0
28,AMAN,Makmur Berkah Amanda Tbk.,--U-113000000061--------------,260,0,10 Nov 2020,0,272,260,272,12,1212300,321729000,97,247.3,272,190500,270,707400,3873500000,3873500000,3873500000,0,0,0,0,0
29,AMAR,Bank Amar Indonesia Tbk.,--U-210500000081--------------,300,0,10 Nov 2020,0,306,300,300,0,64900,19525000,29,172.4,304,17500,300,59400,7954749000,7954749000,7954749000,0,0,0,0,0
30,AMFG,Asahimas Flat Glass Tbk.,--U-110500000032--------------,2400,0,10 Nov 2020,0,2480,2400,2480,80,5300,13014000,8,101.2,2490,121900,2420,500,434000000,434000000,434000000,2100,0,0,0,0
31,AMIN,Ateliers Mecaniques D Indonesie Tbk.,--U-213000000041--------------,278,0,10 Nov 2020,0,304,260,272,-6,4200,1178000,20,212.5,272,5500,262,400,1080000000,1080000000,1080000000,0,0,0,0,0
32,AMOR,Ashmore Asset Management Indonesia Tbk.,XDU-210500000083--------------,2390,0,10 Nov 2020,0,2420,2390,2390,0,46500,111715000,49,125.8,2400,2300,2380,5000,1111111200,1109269200,1111111200,1600,0,0,0,0
33,AMRT,Sumber Alfaria Trijaya Tbk.,--M-110500000093--------------,720,0,10 Nov 2020,0,740,705,740,20,812500,597227000,233,1888.3,740,13500,720,100000,41524501700,41524501700,41524501700,0,89300,0,0,0
34,ANDI,Andira Agro Tbk.,--U-213000000012--------------,50,0,10 Nov 2020,0,50,50,50,0,119417500,5970875000,77,125.0,50,34178200,0,0,9350000000,9350000000,9350000000,0,0,0,0,0
35,ANJT,Austindo Nusantara Jaya Tbk.,--U-113500000012--------------,565,0,10 Nov 2020,0,600,580,600,35,36400,21818000,21,50.0,600,800,595,100,3354175000,3354175000,3354175000,0,0,0,0,0
36,ANTM,Aneka Tambang Tbk.,--MO1SDQV0000023--------------,1240,1250,10 Nov 2020,1250,1255,1195,1200,-40,604934300,733284011000,39259,791.2,1205,2221600,1200,11946600,24030764725,24030764725,24030764725,54810500,15239200,95150,101290000,2
37,APEX,Apexindo Pratama Duta Tbk.,--U-210000000022--------------,143,0,10 Nov 2020,0,168,143,160,17,44000,6921200,41,10.2,160,11400,147,3000,2659850000,2659850000,2659850000,0,0,0,0,0
38,APIC,Pacific Strategic Financial Tbk.,--U-210500000089--------------,910,0,10 Nov 2020,0,925,905,905,-5,10342400,9454624500,1829,962.6,915,104400,905,37800,11766313488,11766313488,11766313488,657000,997300,100000,91500000,1
39,APII,Arita Prima Indonesia Tbk.,--U-213000000091--------------,154,0,10 Nov 2020,0,153,144,150,-4,56400,8421700,18,68.2,153,900,150,25200,1075760000,1075760000,1075760000,0,0,0,0,0
40,APLI,Asiaplast Industries Tbk.,--U-113000000035--------------,117,0,10 Nov 2020,0,117,109,111,-6,65100,7170900,31,92.5,115,100,111,1000,1362671400,1362671400,1362671400,0,0,0,0,0
41,APLN,Agung Podomoro Land Tbk.,--M-1835F0000061--------------,115,0,10 Nov 2020,0,118,115,116,1,72732800,8460615800,2306,31.8,117,1711900,116,5176700,22699326779,22699326779,23351383226,3520100,2167000,0,0,0
42,ARGO,Argo Pantes Tbk,--U-210000000043---E----------,1355,0,10 Nov 2020,0,1685,1400,1685,330,6000,9401000,11,42.3,1685,1400,1675,100,335557450,335557450,335557450,500,0,0,0,0
43,ARII,Atlas Resources Tbk.,--U-213500000021--------------,550,0,10 Nov 2020,0,545,515,540,-10,43100,22509000,25,36.0,540,4500,535,200,3000000000,3000000000,3000000000,0,0,0,0,0
44,ARKA,Arkha Jayanti Persada Tbk.,--U-210000000041--------------,77,0,10 Nov 2020,0,77,72,72,-5,8071500,593035100,1310,30.5,73,1500,72,2500,2000000000,2000000000,2000000000,0,0,0,0,0
45,ARMY,Armidian Karyatama Tbk.,--U-210000000061--M--L--------,50,0,10 Nov 2020,0,0,0,50,0,0,0,0,16.7,0,0,0,0,9006250000,9006250000,9006250000,0,0,0,0,0
46,ARNA,Arwana Citramulia Tbk.,--M-113500000032--------------,545,0,10 Nov 2020,0,555,540,545,0,1223900,671293500,228,3704.2,545,33300,540,56100,7341430976,7341430976,7341430976,533600,14100,0,0,0
