kalender,jumlah emiten,Last Trading Date
20190102,622,02 Jan 2019
20190103,622,03 Jan 2019
20190104,622,04 Jan 2019
20190107,622,07 Jan 2019
20190108,623,08 Jan 2019
20190109,623,09 Jan 2019
20190110,625,10 Jan 2019
20190111,625,11 Jan 2019
20190114,625,14 Jan 2019
20190115,625,15 Jan 2019
20190116,625,16 Jan 2019
20190117,625,17 Jan 2019
20190118,627,18 Jan 2019
20190121,627,21 Jan 2019
20190122,627,23 Jan 2019
20190123,627,24 Jan 2019
20190124,627,25 Jan 2019
20190125,627,28 Jan 2019
20190128,627,29 Jan 2019
20190129,627,30 Jan 2019
20190130,627,31 Jan 2019
20190131,627,01 Feb 2019
20190201,627,04 Feb 2019
20190204,627,06 Feb 2019
20190206,627,07 Feb 2019
20190207,627,08 Feb 2019
20190208,627,11 Feb 2019
20190211,627,12 Feb 2019
20190212,627,14 Feb 2019
20190213,627,15 Feb 2019
20190214,627,18 Feb 2019
20190215,627,19 Feb 2019
20190218,627,20 Feb 2019
20190219,627,21 Feb 2019
20190220,627,22 Feb 2019
20190221,628,25 Feb 2019
20190222,628,26 Feb 2019
20190225,628,27 Feb 2019
20190226,628,28 Feb 2019
20190227,628,01 Mar 2019
20190228,628,04 Mar 2019
20190301,628,05 Mar 2019
20190304,628,08 Mar 2019
20190305,628,11 Mar 2019
20190306,628,12 Mar 2019
20190308,628,13 Mar 2019
20190311,628,14 Mar 2019
20190312,628,15 Mar 2019
20190313,628,18 Mar 2019
20190314,628,19 Mar 2019
20190315,628,20 Mar 2019
20190318,628,21 Mar 2019
20190319,628,22 Mar 2019
20190320,629,25 Mar 2019
20190321,629,26 Mar 2019
20190322,629,27 Mar 2019
20190325,629,22 Jan 2019
20190326,629,13 Feb 2019
20190327,629,06 Mar 2019
20190328,629,28 Mar 2019
20190329,629,23 Apr 2019
20190401,629,15 May 2019
20190402,629,13 Jun 2019
20190404,629,04 Jul 2019
20190405,629,25 Jul 2019
20190408,629,15 Agt 2019
20190409,629,05 Sep 2019
20190410,630,26 Sep 2019
20190411,631,17 Oct 2019
20190412,632,07 Nov 2019
20190415,632,28 Nov 2019
20190416,632,29 Mar 2019
20190418,632,01 Apr 2019
20190422,632,02 Apr 2019
20190423,632,04 Apr 2019
20190424,632,05 Apr 2019
20190425,632,08 Apr 2019
20190426,632,09 Apr 2019
20190429,632,10 Apr 2019
20190430,632,11 Apr 2019
20190502,631,12 Apr 2019
20190503,631,15 Apr 2019
20190506,631,16 Apr 2019
20190507,631,18 Apr 2019
20190508,631,22 Apr 2019
20190509,631,24 Apr 2019
20190510,632,25 Apr 2019
20190513,632,26 Apr 2019
20190514,632,29 Apr 2019
20190515,632,30 Apr 2019
20190516,633,02 May 2019
20190517,633,03 May 2019
20190520,633,06 May 2019
20190521,633,07 May 2019
20190522,633,08 May 2019
20190523,633,09 May 2019
20190524,633,10 May 2019
20190527,633,13 May 2019
20190528,633,14 May 2019
20190529,633,16 May 2019
20190531,633,17 May 2019
20190610,633,20 May 2019
20190611,634,21 May 2019
20190612,634,22 May 2019
20190613,634,23 May 2019
20190614,634,24 May 2019
20190617,634,27 May 2019
20190618,635,28 May 2019
20190619,636,29 May 2019
20190620,636,31 May 2019
20190621,636,10 Jun 2019
20190624,636,11 Jun 2019
20190625,636,12 Jun 2019
20190626,637,14 Jun 2019
20190627,637,17 Jun 2019
20190628,637,18 Jun 2019
20190701,638,19 Jun 2019
20190702,638,20 Jun 2019
20190703,638,21 Jun 2019
20190704,640,24 Jun 2019
20190705,641,25 Jun 2019
20190708,644,26 Jun 2019
20190709,648,27 Jun 2019
20190710,650,28 Jun 2019
20190711,651,01 Jul 2019
20190712,652,02 Jul 2019
20190715,652,03 Jul 2019
20190716,652,05 Jul 2019
20190717,652,08 Jul 2019
20190718,652,09 Jul 2019
20190719,652,10 Jul 2019
20190722,652,11 Jul 2019
20190723,652,12 Jul 2019
20190724,652,15 Jul 2019
20190725,652,16 Jul 2019
20190726,652,17 Jul 2019
20190729,652,18 Jul 2019
20190730,652,19 Jul 2019
20190731,652,22 Jul 2019
20190801,652,23 Jul 2019
20190802,652,24 Jul 2019
20190805,652,26 Jul 2019
20190806,652,29 Jul 2019
20190807,652,30 Jul 2019
20190808,652,31 Jul 2019
20190809,652,01 Agt 2019
20190812,652,02 Agt 2019
20190813,651,05 Agt 2019
20190814,651,06 Agt 2019
20190815,651,07 Agt 2019
20190816,651,08 Agt 2019
20190819,651,09 Agt 2019
20190820,651,12 Agt 2019
20190821,651,13 Agt 2019
20190822,651,14 Agt 2019
20190823,650,16 Agt 2019
20190826,650,19 Agt 2019
20190827,650,20 Agt 2019
20190828,650,21 Agt 2019
20190829,650,22 Agt 2019
20190830,650,23 Agt 2019
20190902,651,26 Agt 2019
20190903,651,27 Agt 2019
20190904,651,28 Agt 2019
20190905,651,29 Agt 2019
20190906,651,30 Agt 2019
20190909,651,02 Sep 2019
20190910,651,03 Sep 2019
20190911,651,04 Sep 2019
20190912,651,06 Sep 2019
20190913,651,09 Sep 2019
20190916,652,10 Sep 2019
20190917,653,11 Sep 2019
20190918,653,12 Sep 2019
20190919,654,13 Sep 2019
20190920,654,16 Sep 2019
20190923,655,17 Sep 2019
20190924,655,18 Sep 2019
20190925,656,19 Sep 2019
20190926,656,20 Sep 2019
20190927,656,23 Sep 2019
20190930,655,24 Sep 2019
20191001,655,25 Sep 2019
20191002,655,27 Sep 2019
20191003,655,30 Sep 2019
20191004,655,01 Oct 2019
20191007,656,02 Oct 2019
20191008,656,03 Oct 2019
20191009,657,04 Oct 2019
20191010,657,07 Oct 2019
20191011,657,08 Oct 2019
20191014,657,09 Oct 2019
20191015,658,10 Oct 2019
20191016,658,11 Oct 2019
20191017,658,14 Oct 2019
20191018,658,15 Oct 2019
20191021,659,16 Oct 2019
20191022,659,18 Oct 2019
20191023,659,21 Oct 2019
20191024,659,22 Oct 2019
20191025,659,23 Oct 2019
20191028,659,24 Oct 2019
20191029,659,25 Oct 2019
20191030,659,28 Oct 2019
20191031,659,29 Oct 2019
20191101,659,30 Oct 2019
20191104,659,31 Oct 2019
20191105,659,01 Nov 2019
20191106,659,04 Nov 2019
20191107,659,05 Nov 2019
20191108,661,06 Nov 2019
20191111,660,08 Nov 2019
20191112,660,11 Nov 2019
20191113,660,12 Nov 2019
20191114,661,13 Nov 2019
20191115,661,14 Nov 2019
20191118,662,15 Nov 2019
20191119,662,18 Nov 2019
20191120,662,19 Nov 2019
20191121,662,20 Nov 2019
20191122,662,21 Nov 2019
20191125,664,22 Nov 2019
20191126,664,25 Nov 2019
20191127,664,26 Nov 2019
20191128,664,27 Nov 2019
20191129,664,29 Nov 2019
20191202,665,02 Dec 2019
20191203,665,03 Dec 2019
20191204,665,04 Dec 2019
20191205,666,05 Dec 2019
20191206,667,06 Dec 2019
20191209,667,09 Dec 2019
20191210,668,10 Dec 2019
20191211,668,11 Dec 2019
20191212,668,12 Dec 2019
20191213,668,13 Dec 2019
20191216,668,16 Dec 2019
20191217,668,17 Dec 2019
20191218,669,18 Dec 2019
20191219,669,19 Dec 2019
20191220,670,20 Dec 2019
20191223,671,23 Dec 2019
20191226,671,26 Dec 2019
20191227,671,27 Dec 2019
20191230,671,30 Dec 2019
20200102,671,02 Jan 2020
20200103,671,03 Jan 2020
20200106,671,06 Jan 2020
20200107,671,07 Jan 2020
20200108,672,08 Jan 2020
20200109,674,09 Jan 2020
20200110,674,10 Jan 2020
20200113,675,13 Jan 2020
20200114,676,14 Jan 2020
20200115,677,15 Jan 2020
20200116,677,16 Jan 2020
20200117,677,17 Jan 2020
20200120,676,20 Jan 2020
20200121,676,21 Jan 2020
20200122,677,23 Jan 2020
20200123,676,24 Jan 2020
20200124,676,27 Jan 2020
20200127,676,28 Jan 2020
20200128,676,29 Jan 2020
20200129,677,30 Jan 2020
20200130,677,31 Jan 2020
20200131,677,03 Feb 2020
20200203,677,04 Feb 2020
20200204,677,05 Feb 2020
20200205,677,06 Feb 2020
20200206,677,07 Feb 2020
20200207,678,10 Feb 2020
20200210,679,11 Feb 2020
20200211,679,13 Feb 2020
20200212,681,14 Feb 2020
20200213,681,17 Feb 2020
20200214,682,18 Feb 2020
20200217,683,19 Feb 2020
20200218,683,20 Feb 2020
20200219,683,21 Feb 2020
20200220,683,24 Feb 2020
20200221,683,25 Feb 2020
20200224,683,26 Feb 2020
20200225,683,27 Feb 2020
20200226,683,28 Feb 2020
20200227,683,02 Mar 2020
20200228,683,03 Mar 2020
20200302,683,05 Mar 2020
20200303,683,06 Mar 2020
20200304,683,09 Mar 2020
20200305,683,10 Mar 2020
20200306,683,11 Mar 2020
20200309,685,12 Mar 2020
20200310,685,13 Mar 2020
20200311,685,16 Mar 2020
20200312,685,17 Mar 2020
20200313,687,18 Mar 2020
20200316,687,19 Mar 2020
20200317,687,20 Mar 2020
20200318,687,23 Mar 2020
20200319,687,24 Mar 2020
20200320,687,22 Jan 2020
20200323,687,12 Feb 2020
20200324,687,04 Mar 2020
20200326,687,26 Mar 2020
20200327,687,17 Apr 2020
20200330,687,12 May 2020
20200331,688,08 Jun 2020
20200401,688,29 Jun 2020
20200402,688,20 Jul 2020
20200403,688,11 Agt 2020
20200406,687,04 Sep 2020
20200407,687,25 Sep 2020
20200408,689,16 Oct 2020
20200409,692,11 Nov 2020
20200413,692,02 Dec 2020
20200414,692,27 Mar 2020
20200415,694,30 Mar 2020
20200416,694,31 Mar 2020
20200417,694,01 Apr 2020
20200420,693,02 Apr 2020
20200421,693,03 Apr 2020
20200422,693,06 Apr 2020
20200423,693,07 Apr 2020
20200424,693,08 Apr 2020
20200427,693,09 Apr 2020
20200428,693,13 Apr 2020
20200429,693,14 Apr 2020
20200430,693,15 Apr 2020
20200504,694,16 Apr 2020
20200505,694,20 Apr 2020
20200506,694,21 Apr 2020
20200508,694,22 Apr 2020
20200511,694,23 Apr 2020
20200512,694,24 Apr 2020
20200513,694,27 Apr 2020
20200514,694,28 Apr 2020
20200515,694,29 Apr 2020
20200518,694,30 Apr 2020
20200519,694,04 May 2020
20200520,694,05 May 2020
20200526,694,06 May 2020
20200527,694,08 May 2020
20200528,694,11 May 2020
20200529,694,13 May 2020
20200602,694,14 May 2020
20200603,694,15 May 2020
20200604,695,18 May 2020
20200605,695,19 May 2020
20200608,695,20 May 2020
20200609,695,26 May 2020
20200610,695,27 May 2020
20200611,695,28 May 2020
20200612,695,29 May 2020
20200615,695,02 Jun 2020
20200616,695,03 Jun 2020
20200617,695,04 Jun 2020
20200618,695,05 Jun 2020
20200619,695,09 Jun 2020
20200622,695,10 Jun 2020
20200623,695,11 Jun 2020
20200624,695,12 Jun 2020
20200625,695,15 Jun 2020
20200626,695,16 Jun 2020
20200629,695,17 Jun 2020
20200630,695,18 Jun 2020
20200701,696,19 Jun 2020
20200702,696,22 Jun 2020
20200703,696,23 Jun 2020
20200706,697,24 Jun 2020
20200707,699,25 Jun 2020
20200708,699,26 Jun 2020
20200709,699,30 Jun 2020
20200710,699,01 Jul 2020
20200713,699,02 Jul 2020
20200714,699,03 Jul 2020
20200715,699,06 Jul 2020
20200716,699,07 Jul 2020
20200717,699,08 Jul 2020
20200720,700,09 Jul 2020
20200721,700,10 Jul 2020
20200722,700,13 Jul 2020
20200723,700,14 Jul 2020
20200724,700,15 Jul 2020
20200727,700,16 Jul 2020
20200728,700,17 Jul 2020
20200729,700,21 Jul 2020
20200730,700,22 Jul 2020
20200803,700,23 Jul 2020
20200804,700,24 Jul 2020
20200805,700,27 Jul 2020
20200806,701,28 Jul 2020
20200807,701,29 Jul 2020
20200810,702,30 Jul 2020
20200811,702,03 Agt 2020
20200812,702,04 Agt 2020
20200813,702,05 Agt 2020
20200814,702,06 Agt 2020
20200818,702,07 Agt 2020
20200819,702,10 Agt 2020
20200824,702,12 Agt 2020
20200825,702,13 Agt 2020
20200826,702,14 Agt 2020
20200827,703,18 Agt 2020
20200828,702,19 Agt 2020
20200831,703,24 Agt 2020
20200901,703,25 Agt 2020
20200902,703,26 Agt 2020
20200903,703,27 Agt 2020
20200904,703,28 Agt 2020
20200907,706,31 Agt 2020
20200908,708,01 Sep 2020
20200909,708,02 Sep 2020
20200910,710,03 Sep 2020
20200911,710,07 Sep 2020
20200914,711,08 Sep 2020
20200915,712,09 Sep 2020
20200916,712,10 Sep 2020
20200917,712,11 Sep 2020
20200918,712,14 Sep 2020
20200921,712,15 Sep 2020
20200922,712,16 Sep 2020
20200923,712,17 Sep 2020
20200924,712,18 Sep 2020
20200925,712,21 Sep 2020
20200928,712,22 Sep 2020
20200929,712,23 Sep 2020
20200930,712,24 Sep 2020
20201001,712,28 Sep 2020
20201002,712,29 Sep 2020
20201005,712,30 Sep 2020
20201006,712,01 Oct 2020
20201007,712,02 Oct 2020
20201008,712,05 Oct 2020
20201009,712,06 Oct 2020
20201012,712,07 Oct 2020
20201013,712,08 Oct 2020
20201014,712,09 Oct 2020
20201015,712,12 Oct 2020
20201016,712,13 Oct 2020
20201019,712,14 Oct 2020
20201020,712,15 Oct 2020
20201021,712,19 Oct 2020
20201022,712,20 Oct 2020
20201023,712,21 Oct 2020
20201026,712,22 Oct 2020
20201027,712,23 Oct 2020
20201102,712,26 Oct 2020
20201103,712,27 Oct 2020
20201104,712,02 Nov 2020
20201105,712,03 Nov 2020
20201106,712,04 Nov 2020
20201109,712,05 Nov 2020
20201110,712,06 Nov 2020
20201111,712,09 Nov 2020
20201112,712,10 Nov 2020
20201113,712,12 Nov 2020
20201116,712,13 Nov 2020
20201117,712,16 Nov 2020
20201118,712,17 Nov 2020
20201119,712,18 Nov 2020
20201120,712,19 Nov 2020
20201123,711,20 Nov 2020
20201124,711,23 Nov 2020
20201125,711,24 Nov 2020
20201126,711,25 Nov 2020
20201127,711,26 Nov 2020
20201130,711,27 Nov 2020
20201201,711,30 Nov 2020
20201202,711,01 Dec 2020
20201203,711,03 Dec 2020
20201204,711,04 Dec 2020
20201207,711,07 Dec 2020
20201208,712,08 Dec 2020
20201210,712,10 Dec 2020
20201211,713,11 Dec 2020
20201214,713,14 Dec 2020
20201215,713,15 Dec 2020
20201216,713,16 Dec 2020
20201217,714,17 Dec 2020
20201218,715,18 Dec 2020
20201221,715,21 Dec 2020
20201222,715,22 Dec 2020
20201223,715,23 Dec 2020
20201228,715,28 Dec 2020
20201229,715,29 Dec 2020
20201230,716,30 Dec 2020
20210104,717,04 Jan 2021
20210105,717,05 Jan 2021
20210106,718,06 Jan 2021
20210107,718,07 Jan 2021
20210108,718,08 Jan 2021
20210111,718,11 Jan 2021
20210112,718,12 Jan 2021
20210113,718,13 Jan 2021
20210114,718,14 Jan 2021
20210115,719,15 Jan 2021
20210118,719,18 Jan 2021
20210119,719,19 Jan 2021
20210120,719,20 Jan 2021
20210121,719,21 Jan 2021
20210122,719,25 Jan 2021
20210125,719,26 Jan 2021
20210126,719,27 Jan 2021
20210127,719,28 Jan 2021
20210128,719,29 Jan 2021
20210129,719,01 Feb 2021
20210201,721,02 Feb 2021
20210202,722,03 Feb 2021
20210203,722,04 Feb 2021
20210204,722,05 Feb 2021
20210205,722,08 Feb 2021
20210208,723,09 Feb 2021
20210209,723,10 Feb 2021
20210210,723,11 Feb 2021
20210211,723,16 Feb 2021
20210215,723,17 Feb 2021
20210216,723,18 Feb 2021
20210217,723,19 Feb 2021
20210218,723,22 Feb 2021
20210219,723,23 Feb 2021
20210222,723,24 Feb 2021
20210223,723,25 Feb 2021
20210224,723,26 Feb 2021
20210225,723,01 Mar 2021
20210226,723,02 Mar 2021
20210301,723,03 Mar 2021
20210302,723,04 Mar 2021
20210303,723,05 Mar 2021
20210304,723,09 Mar 2021
20210305,723,10 Mar 2021
20210308,724,12 Mar 2021
20210309,724,15 Mar 2021
20210310,725,16 Mar 2021
20210312,725,17 Mar 2021
20210315,725,18 Mar 2021
20210316,725,19 Mar 2021
20210317,725,22 Mar 2021
20210318,725,23 Mar 2021
20210319,725,24 Mar 2021
20210322,725,25 Mar 2021
20210323,725,26 Mar 2021
20210324,725,29 Mar 2021
20210325,725,22 Jan 2021
20210326,725,15 Feb 2021
20210329,726,08 Mar 2021
20210330,727,30 Mar 2021
20210331,727,21 Apr 2021
20210401,727,17 May 2021
20210405,727,09 Jun 2021
20210406,727,30 Jun 2021
20210407,728,22 Jul 2021
20210408,728,13 Agt 2021
20210409,729,06 Sep 2021
20210412,730,27 Sep 2021
20210413,730,18 Oct 2021
20210414,731,09 Nov 2021
20210415,731,30 Nov 2021
20210416,731,31 Mar 2021
20210419,731,01 Apr 2021
20210420,731,05 Apr 2021
20210421,731,06 Apr 2021
20210422,731,07 Apr 2021
20210423,731,08 Apr 2021
20210426,731,09 Apr 2021
20210427,731,12 Apr 2021
20210428,731,13 Apr 2021
20210429,731,14 Apr 2021
20210430,731,15 Apr 2021
20210503,731,16 Apr 2021
20210504,731,19 Apr 2021
20210505,731,20 Apr 2021
20210506,731,22 Apr 2021
20210507,731,23 Apr 2021
20210510,731,26 Apr 2021
20210511,731,27 Apr 2021
20210517,731,28 Apr 2021
20210518,731,29 Apr 2021
20210519,731,30 Apr 2021
20210520,731,03 May 2021
20210521,731,04 May 2021
20210524,732,05 May 2021
20210525,732,06 May 2021
20210527,732,07 May 2021
20210528,732,10 May 2021
20210531,732,11 May 2021
20210602,732,18 May 2021
20210603,732,19 May 2021
20210604,732,20 May 2021
20210607,732,21 May 2021
20210608,733,24 May 2021
20210609,733,25 May 2021
20210610,735,27 May 2021
20210611,735,28 May 2021
20210614,735,31 May 2021
20210615,735,02 Jun 2021
20210616,735,03 Jun 2021
20210617,735,04 Jun 2021
20210618,735,07 Jun 2021
20210621,735,08 Jun 2021
20210622,735,10 Jun 2021
20210623,735,11 Jun 2021
20210624,735,14 Jun 2021
20210625,735,15 Jun 2021
20210628,736,16 Jun 2021
20210629,736,17 Jun 2021
20210630,738,18 Jun 2021
20210701,738,21 Jun 2021
20210702,738,22 Jun 2021
20210705,738,23 Jun 2021
20210706,739,24 Jun 2021
20210707,739,25 Jun 2021
20210708,740,28 Jun 2021
20210709,741,29 Jun 2021
20210712,741,01 Jul 2021
20210713,741,02 Jul 2021
20210714,741,05 Jul 2021
20210715,741,06 Jul 2021
20210716,741,07 Jul 2021
20210719,741,08 Jul 2021
20210721,741,09 Jul 2021
20210722,741,12 Jul 2021
20210723,741,13 Jul 2021
20210726,741,14 Jul 2021
