Kode,Sektor,Sub-Sektor,Industri,Sub-Industri
A111,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
A112,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Storage & Distribution
A121,Energy,"Oil, Gas & Coal",Coal,Coal Production
A122,Energy,"Oil, Gas & Coal",Coal,Coal Distribution
A131,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports",Oil & Gas Drilling Service
A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services"
A211,Energy,Alternative Energy,Alternative Energy Equipment,Alternative Energy Equipment
A221,Energy,Alternative Energy,Alternative Fuels,Alternative Fuels
B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals
B112,Basic Materials,Basic Materials,Chemicals,Agricultural Chemicals
B113,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals
B121,Basic Materials,Basic Materials,Construction Materials,Construction Materials
B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging
B141,Basic Materials,Basic Materials,Metals & Minerals,Aluminum
B142,Basic Materials,Basic Materials,Metals & Minerals,Copper
B143,Basic Materials,Basic Materials,Metals & Minerals,Gold
B144,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel
B145,Basic Materials,Basic Materials,Metals & Minerals,Precious Metals & Minerals
B146,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals
B147,Basic Materials,Basic Materials,Metals & Minerals,Mining Equipment & Services
B151,Basic Materials,Basic Materials,Forestry & Paper,Timber
B152,Basic Materials,Basic Materials,Forestry & Paper,Paper
B153,Basic Materials,Basic Materials,Forestry & Paper,Diversified Forest
C111,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
C121,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures
C131,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment
C132,Industrials,Industrial Goods,Electrical,Heavy Electrical Equipment
C141,Industrials,Industrial Goods,Machinery,Construction Machinery & Heavy Vehicles
C142,Industrials,Industrial Goods,Machinery,Agricultural & Farm Machinery
C143,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components
C211,Industrials,Industrial Services,Diversified Industrial Trading,Diversified Industrial Trading
C221,Industrials,Industrial Services,Commercial Services,Commercial Printing
C222,Industrials,Industrial Services,Commercial Services,Environmental & Facilities Services
C223,Industrials,Industrial Services,Commercial Services,Office Supplies
C224,Industrials,Industrial Services,Commercial Services,Business Support Services
C231,Industrials,Industrial Services,Professional Services,Human Resource & Employment Services
C232,Industrials,Industrial Services,Professional Services,Research & Consulting Services
C311,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings
D111,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Drug Retail & Distributors
D112,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Food Retail & Distributors
D113,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Supermarkets & Convenience Store
D211,Consumer Non-Cyclicals,Food & Beverage,Beverages,Liquors
D212,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks
D221,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Dairy Products
D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry"
D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
