Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--M-1M3PM10000D232------------,11250,0,22 Feb 2022,11300,11000,11100,-150,1886900,20916645000,1937
ABBA,XRU-2100000000E614------------,354,0,22 Feb 2022,360,336,358,4,17764900,6255684000,2766
ABDA,--U-2105000000G412------------,6600,0,22 Feb 2022,0,0,6600,0,0,0,0
ABMM,--M-1115000000C311------------,1525,0,22 Feb 2022,1645,1525,1590,65,7594700,12049397000,1588
ACES,--M-187EMN6000E743------------,1205,0,22 Feb 2022,1215,1160,1165,-40,58768100,69838834000,9301
ACST,--U-1105000000J211------------,200,0,22 Feb 2022,206,198,198,-2,5704800,1141329200,730
ADES,--U-2135000000D212------------,3880,0,22 Feb 2022,3880,3770,3840,-40,61800,236056000,123
ADHI,--M-1835K52000J211------------,930,0,22 Feb 2022,930,890,895,-35,26317600,23769024000,4237
ADMF,--U-1115200000G211------------,7950,0,22 Feb 2022,8025,7950,7975,25,134900,1075870000,104
ADMG,--U-1130000000B111------------,183,0,22 Feb 2022,185,180,183,0,889700,161717600,187
ADMR,--U-2135000000A121-----------X,1145,0,22 Feb 2022,1155,1105,1145,0,54940500,62093265000,5669
ADRO,--MO1XD0Q60000A121------------,2220,2230,22 Feb 2022,2260,2180,2230,10,91334200,202209329000,9069
AGAR,--U-2130000000D231------------,376,0,22 Feb 2022,464,350,374,-2,77900,28282400,147
AGII,--M-1835F20000B111------------,1435,0,22 Feb 2022,1450,1420,1430,-5,2881900,4122566500,934
AGRO,--U-1105000000G111------------,1520,0,22 Feb 2022,1520,1440,1455,-65,69456200,102439012500,14219
AGRS,--U-2105000000G111------------,165,0,22 Feb 2022,166,158,159,-6,20167800,3250845400,2186
AHAP,--U-2100000000G412------------,68,0,22 Feb 2022,69,66,67,-1,1113800,74756400,135
AIMS,--U-2130000000A121------------,348,0,22 Feb 2022,364,344,350,2,79400,27978600,65
AISA,--U-1135000000D222------------,195,0,22 Feb 2022,218,195,202,7,110931000,23290367100,10052
AKKU,--U-2130000000E512------------,50,0,22 Feb 2022,50,50,50,0,1928800,96440000,463
AKPI,--U-2130000000B113------------,1045,0,22 Feb 2022,1045,1010,1045,0,16800,17459500,33
AKRA,--M-18GXM86000A112------------,745,0,22 Feb 2022,755,725,735,-10,39824400,29341170500,3923
AKSI,--U-2130000000K211------------,580,0,22 Feb 2022,585,575,575,-5,25800,14879000,41
ALDO,--U-2135000000B131------------,1155,0,22 Feb 2022,1140,1075,1075,-80,10930000,11966614000,2344
ALKA,--U-2130000000B141------------,288,0,22 Feb 2022,288,284,284,-4,17100,4905400,17
ALMI,--U-2105000000B141-E----------,310,0,22 Feb 2022,314,298,300,-10,4900,1505000,15
ALTO,--U-1100000000D212------------,236,0,22 Feb 2022,236,230,236,0,23100,5445600,15
AMAG,--U-2105000000G412------------,374,0,22 Feb 2022,380,360,364,-10,31900,11701000,63
AMAN,--M-1135000000H111------------,525,0,22 Feb 2022,530,525,530,5,728500,382475500,68
AMAR,XRU-2105000000G111------------,360,0,22 Feb 2022,366,342,348,-12,58308000,20542929600,5641
AMFG,--U-1105000000C121------------,4930,0,22 Feb 2022,4970,4870,4970,40,44700,219480000,43
AMIN,--U-2130000000C143------------,171,0,22 Feb 2022,175,171,173,2,95700,16510200,86
AMOR,XDM-2105000000G311------------,1690,0,22 Feb 2022,1700,1670,1675,-15,15500,26072000,54
AMRT,--MO1U05906000D113------------,1160,1155,22 Feb 2022,1180,1130,1150,-10,15706000,18045571500,4584
ANDI,--U-2130000000D232------------,50,0,22 Feb 2022,50,50,50,0,34300,1715000,15
ANJT,--U-1135000000D232------------,1060,0,22 Feb 2022,1105,1010,1040,-20,145900,150644000,127
ANTM,--MO1XDPXC6000B146------------,2170,2150,22 Feb 2022,2200,2100,2180,10,215581800,466030012000,25871
APEX,--U-2135000000A131------------,680,0,22 Feb 2022,700,665,690,10,108400,73494000,76
APIC,--M-2105000000G511------------,1180,0,22 Feb 2022,1185,1160,1165,-15,16115200,18844706500,1234
APII,--M-2130000000C143------------,195,0,22 Feb 2022,199,195,196,1,56300,11095600,62
APLI,--U-1130000000B113------------,199,0,22 Feb 2022,199,196,199,0,900,178500,6
APLN,--M-1135000000H111------------,120,0,22 Feb 2022,121,116,117,-3,16469200,1937348000,1281
ARCI,--M-1835000000B143------------,484,0,22 Feb 2022,492,480,490,6,14549600,7022856400,584
ARGO,--U-2100000000E413-E----------,1610,0,22 Feb 2022,1610,1555,1560,-50,2000,3124500,12
ARII,--U-2130000000A121------------,244,0,22 Feb 2022,246,234,244,0,332700,79703000,39
ARKA,--U-2100000000C143------------,50,0,22 Feb 2022,50,50,50,0,697100,34855000,78
ARMY,--U-2130000000H111------------,50,0,22 Feb 2022,0,0,50,0,0,0,0
ARNA,--M-1135000000C121------------,910,0,22 Feb 2022,920,905,920,10,398000,363380000,227
ARTA,--U-2100000000E512------------,1815,0,22 Feb 2022,1840,1830,1840,25,3600,6600000,5
ARTI,--U-1100000000A132-E-L--------,50,0,22 Feb 2022,0,0,50,0,0,0,0
ARTO,--U-2800000000G111------------,16000,0,22 Feb 2022,16525,15975,16175,175,49866500,815103740000,21162
ASBI,--U-2100000000G412------------,280,0,22 Feb 2022,300,284,296,16,8700,2584800,19
ASDM,--U-1100000000G412------------,990,0,22 Feb 2022,995,975,975,-15,500,489500,4
ASGR,--M-1135000000C224------------,795,0,22 Feb 2022,795,785,795,0,29000,22883000,29
ASII,--MO1UBAC76000C311------------,5575,5525,22 Feb 2022,5575,5450,5575,0,49233600,271806782500,5733
ASJT,--U-2100000000G412------------,135,0,22 Feb 2022,135,133,133,-2,184000,24504900,41
ASLC,--U-2130000000E745------------,266,0,22 Feb 2022,268,258,258,-8,42181000,10953349200,2042
ASMI,--U-1105000000G412------------,206,0,22 Feb 2022,210,202,204,-2,50600,10499000,41
ASPI,--U-2130000000H111------------,80,0,22 Feb 2022,86,75,75,-5,61922700,4866840800,1993
ASRI,--M-1835M00000H111------------,162,0,22 Feb 2022,163,158,160,-2,9748200,1555846000,1071
ASRM,--U-2100000000G412------------,1600,0,22 Feb 2022,1575,1525,1575,-25,500,777500,5
ASSA,--M-1825946000K132------------,2590,0,22 Feb 2022,2620,2420,2570,-20,15339700,38955196000,4597
ATAP,--U-2130000000H111------------,147,0,22 Feb 2022,159,144,146,-1,33493200,5140158800,4722
ATIC,--U-1105000000I121------------,595,0,22 Feb 2022,605,585,600,5,117300,69499500,103
AUTO,--M-1135000000E111------------,1085,0,22 Feb 2022,1095,1075,1085,0,2019900,2186543000,880
AVIA,--U-1130000000B113------------,850,0,22 Feb 2022,850,830,835,-15,23576500,19761788500,1236
AYLS,--U-2130000000B121------------,264,0,22 Feb 2022,272,252,256,-8,11674700,3087928400,5860
BABP,--U-2105000000G111------------,242,0,22 Feb 2022,248,226,230,-12,533466900,124248860400,20571
BACA,--U-2105000000G111------------,238,0,22 Feb 2022,238,232,234,-4,9889800,2318136800,822
BAJA,--U-2100000000B144------------,292,0,22 Feb 2022,294,286,288,-4,1123500,323536000,227
BALI,--M-1135000000J321------------,820,0,22 Feb 2022,835,805,810,-10,740100,602385000,205
BANK,--U-2135400000G111------------,2300,0,22 Feb 2022,2310,2160,2190,-110,16957600,37469944000,3765
BAPA,--U-1130000000H111------------,126,0,22 Feb 2022,131,118,120,-6,126686600,15537543500,9733
BAPI,--U-2130000000H111------------,50,0,22 Feb 2022,50,50,50,0,3200,160000,15
BATA,--U-1130000000E412------------,478,0,22 Feb 2022,478,460,464,-14,3800,1804800,13
BAUT,--U-2130000000E743------------,190,0,22 Feb 2022,199,177,177,-13,811860800,147333488500,15971
BAYU,--U-2130000000E513------------,1170,0,22 Feb 2022,0,0,1170,0,0,0,0
BBCA,--MO1UQNCN6000G111------------,7950,7900,22 Feb 2022,7950,7850,7900,-50,80095500,633463032500,10560
BBHI,--U-2100000000G111------------,5750,0,22 Feb 2022,5800,5550,5575,-175,4662600,26225587500,3642
BBKP,--U-1105000000G111------------,282,0,22 Feb 2022,284,274,278,-4,109940500,30482218200,3944
BBLD,--U-2100000000G211------------,368,0,22 Feb 2022,378,374,378,10,6800,2566400,18
BBMD,--U-1105000000G111------------,2070,0,22 Feb 2022,2050,2000,2020,-50,3700,7407000,4
BBNI,--MO1UQSP46000G111------------,7900,7800,22 Feb 2022,7850,7700,7750,-150,31443100,243843302500,10754
BBRI,--MO1UQSPB6000G111------------,4490,4440,22 Feb 2022,4470,4420,4430,-60,109060900,484120443000,12490
BBRM,RSU-1130000000A122------------,66,0,22 Feb 2022,66,62,62,-4,2979300,185124600,1129
BBSI,--U-2105000000G111------------,5350,0,22 Feb 2022,5425,5100,5425,75,34700,185360000,52
BBSS,--U-2130000000H111------------,58,0,22 Feb 2022,58,56,56,-2,7559100,426722300,329
BBTN,--MO1HQRL86000G111------------,1805,1795,22 Feb 2022,1795,1740,1750,-55,27513400,48279932500,5450
BBYB,--U-1105000000G111------------,2440,0,22 Feb 2022,2530,2370,2400,-40,101577200,247322474000,18499
BCAP,--M-1105000000G511------------,306,0,22 Feb 2022,0,0,306,0,0,0,0
BCIC,--U-2105000000G111------------,178,0,22 Feb 2022,181,175,175,-3,1924300,339802500,303
BCIP,--U-2130000000H111------------,80,0,22 Feb 2022,82,78,80,0,6055900,481762700,477
BDMN,--M-1855100000G111------------,2420,0,22 Feb 2022,2420,2380,2390,-30,1802200,4319184000,729
BEBS,--U-2135000000B121------------,5675,0,22 Feb 2022,5725,5300,5300,-375,37000800,197769400000,4859
BEEF,--U-2100000000D222-E----------,57,0,22 Feb 2022,58,56,57,0,1568500,88991700,111
BEKS,--U-2105000000G111------------,50,0,22 Feb 2022,50,50,50,0,3912300,195615000,235
BELL,--M-2130000000E413------------,83,0,22 Feb 2022,88,80,80,-3,1807400,151301400,472
BESS,--U-2135000000A122------------,600,0,22 Feb 2022,615,590,610,10,72500,43601500,102
BEST,--M-1135040000H111------------,109,0,22 Feb 2022,110,107,109,0,8492600,919339500,416
BFIN,--MO1H15920000G211------------,1280,1275,22 Feb 2022,1275,1255,1265,-15,10485400,13250199500,1371
BGTG,CRU-2105000000G111------------,240,0,22 Feb 2022,252,230,230,-10,284891700,67941855000,14152
BHAT,--U-2105000000G413------------,1005,0,22 Feb 2022,1005,990,1000,-5,1087600,1086772500,108
BHIT,--U-1105000000C311------------,66,0,22 Feb 2022,68,62,64,-2,548322200,35254071900,9311
BIKA,--U-2130000000H111-E----------,216,0,22 Feb 2022,214,208,208,-8,16200,3380000,12
BIMA,--U-2100000000E412------------,252,0,22 Feb 2022,256,248,248,-4,1455000,365716200,309
BINA,--U-1105000000G111------------,3910,0,22 Feb 2022,3950,3900,3940,30,221500,871957000,296
BINO,--U-2130000000C223------------,173,0,22 Feb 2022,174,168,170,-3,25271700,4341434300,2347
BIPI,--U-2105000000A111------------,52,0,22 Feb 2022,53,51,51,-1,955476300,49560314600,3602
BIPP,--U-2130000000H111------------,51,0,22 Feb 2022,52,50,51,0,1060900,54228500,109
BIRD,--M-1135000000K132------------,1455,0,22 Feb 2022,1480,1380,1420,-35,2345000,3338823500,848
BISI,--U-1135000000D232------------,1030,0,22 Feb 2022,1035,1010,1015,-15,629500,639363000,98
BJBR,--M-185FL76000G111------------,1405,0,22 Feb 2022,1415,1400,1405,0,1903500,2671489000,707
BJTM,--M-180CE76000G111------------,780,0,22 Feb 2022,785,765,780,0,11495400,8900970500,2407
BKDP,--U-2130000000H111-----------X,96,0,22 Feb 2022,105,92,97,1,7389000,701656200,549
BKSL,--U-1135000000H111------------,56,0,22 Feb 2022,57,55,56,0,39631400,2220647200,1373
BKSW,--U-2105000000G111------------,170,0,22 Feb 2022,172,166,168,-2,5029700,842748100,636
BLTA,--U-1135000000K211------------,50,0,22 Feb 2022,50,50,50,0,48800,2440000,10
BLTZ,--U-2135000000E514------------,3140,0,22 Feb 2022,3060,2950,2950,-190,600,1783000,6
BLUE,--U-2130000000C223------------,358,0,22 Feb 2022,358,354,354,-4,91100,32311000,69
BMAS,--U-2105000000G111------------,1490,0,22 Feb 2022,1535,1495,1495,5,11700,17540500,19
BMHS,--M-1135000000F121------------,700,0,22 Feb 2022,725,680,715,15,18268400,12846642000,2491
BMRI,--MO1UQSPK6000G111------------,7850,7825,22 Feb 2022,7900,7775,7875,25,34738300,272307142500,6519
BMSR,--U-1130000000B111------------,242,0,22 Feb 2022,250,244,250,8,525300,130485600,161
BMTR,--M-1835F80000C311------------,262,0,22 Feb 2022,264,260,260,-2,19809300,5171279000,1288
BNBA,--U-1105000000G111------------,3110,0,22 Feb 2022,3220,3100,3170,60,2968900,9385036000,1917
BNBR,--U-2105000000C311------------,50,0,22 Feb 2022,50,50,50,0,3400,170000,8
BNGA,--M-115F100000G111------------,1020,0,22 Feb 2022,1030,995,1015,-5,15733300,15859317000,2685
BNII,--M-1105006000G111------------,314,0,22 Feb 2022,316,310,310,-4,1592300,495676000,335
BNLI,--U-1000000000G111------------,1425,0,22 Feb 2022,1435,1420,1420,-5,55300,78880500,83
