Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
AALI,--M-1M3PM10000D232------------,12300,0,04 Apr 2022,12575,12150,12525,225,1864200,23117905000,1670,2022,04
ABBA,--U-2100000000E614------------,284,0,04 Apr 2022,288,270,276,-8,30583100,8434085800,1872,2022,04
ABDA,--U-2105000000G412------------,6400,0,04 Apr 2022,0,0,6400,0,0,0,0,2022,04
ABMM,--M-1115000000C311------------,1780,0,04 Apr 2022,1850,1765,1850,70,3161400,5755679500,921,2022,04
ACES,--M-187EMN6000E743------------,1075,0,04 Apr 2022,1120,1075,1110,35,43640900,48175900000,7331,2022,04
ACST,--U-1105000000J211------------,190,0,04 Apr 2022,192,188,190,0,3850900,727389800,385,2022,04
ADCP,--U-1130000000H111------------,90,0,04 Apr 2022,92,89,90,0,18989600,1711727900,1802,2022,04
ADES,--U-2135000000D212------------,3680,0,04 Apr 2022,3750,3680,3700,20,59900,221252000,90,2022,04
ADHI,--M-1835K52000J211------------,725,0,04 Apr 2022,730,715,725,0,4886300,3533946000,1488,2022,04
ADMF,--U-1115200000G211------------,8525,0,04 Apr 2022,8650,8525,8650,125,547300,4701895000,740,2022,04
ADMG,--U-1130000000B111------------,184,0,04 Apr 2022,185,182,184,0,153100,28086800,73,2022,04
ADMR,--U-2135000000A121------------,2250,0,04 Apr 2022,2430,2230,2370,120,180917700,422597630000,24613,2022,04
ADRO,--MO1XD0Q60000A121------------,2810,2810,04 Apr 2022,2870,2780,2810,0,59731800,168731664000,8684,2022,04
AGAR,--U-2130000000D231------------,362,0,04 Apr 2022,370,360,370,8,16100,5923000,26,2022,04
AGII,--M-1835F20000B111------------,1645,0,04 Apr 2022,1740,1650,1740,95,14850200,25319839500,3885,2022,04
AGRO,--U-1105000000G111------------,1245,0,04 Apr 2022,1240,1160,1160,-85,65632600,76657800000,12641,2022,04
AGRS,--U-2105000000G111------------,146,0,04 Apr 2022,147,139,142,-4,16068600,2289779000,1395,2022,04
AHAP,--U-2100000000G412------------,68,0,04 Apr 2022,68,65,66,-2,3157700,209802000,362,2022,04
AIMS,--U-2130000000A121------------,272,0,04 Apr 2022,274,268,268,-4,16000,4349800,39,2022,04
AISA,--U-1135000000D222------------,179,0,04 Apr 2022,182,179,179,0,4402600,791288200,691,2022,04
AKKU,--U-2130000000E512------------,50,0,04 Apr 2022,50,50,50,0,4999900,249995000,1418,2022,04
AKPI,--U-2130000000B113------------,985,0,04 Apr 2022,985,930,980,-5,18200,17159500,52,2022,04
AKRA,--M-18GXM86000A112------------,925,0,04 Apr 2022,935,915,915,-10,32665300,30127497000,4662,2022,04
AKSI,--U-2130000000K211------------,472,0,04 Apr 2022,590,444,452,-20,1241300,617322900,695,2022,04
ALDO,--U-2135000000B131------------,1035,0,04 Apr 2022,1035,1005,1015,-20,5387800,5494927000,856,2022,04
ALKA,--U-2130000000B141------------,290,0,04 Apr 2022,310,288,288,-2,76300,22490200,57,2022,04
ALMI,--U-2105000000B141------------,272,0,04 Apr 2022,276,256,274,2,10400,2821600,22,2022,04
ALTO,--U-1100000000D212------------,226,0,04 Apr 2022,226,212,212,-14,241600,51658600,79,2022,04
AMAG,--U-2105000000G412------------,386,0,04 Apr 2022,400,384,394,8,19000,7434400,43,2022,04
AMAN,--M-1135000000H111------------,525,0,04 Apr 2022,525,525,525,0,287000,150675000,29,2022,04
AMAR,--U-2105000000G111------------,396,0,04 Apr 2022,396,370,370,-26,39331600,14830104800,4773,2022,04
AMFG,--U-1105000000C121------------,5650,0,04 Apr 2022,5875,5550,5775,125,63300,363040000,69,2022,04
AMIN,--U-2130000000C143------------,159,0,04 Apr 2022,164,155,160,1,283100,45308700,88,2022,04
AMOR,--M-2105000000G311------------,1640,0,04 Apr 2022,1640,1640,1640,0,400,656000,4,2022,04
AMRT,--MO1U05906000D113------------,1485,1495,04 Apr 2022,1550,1490,1530,45,40018100,61234038000,8426,2022,04
ANDI,--U-2130000000D232------------,50,0,04 Apr 2022,50,50,50,0,15200,760000,14,2022,04
ANJT,--U-1135000000D232------------,1005,0,04 Apr 2022,1030,990,1005,0,817700,822479000,360,2022,04
ANTM,--MO1XDPXC6000B146------------,2510,2530,04 Apr 2022,2650,2520,2640,130,138741900,360508298000,21587,2022,04
APEX,--U-2135000000A131------------,535,0,04 Apr 2022,580,498,505,-30,3734500,1957383300,1387,2022,04
APIC,--M-2105000000G511------------,1085,0,04 Apr 2022,1085,1060,1085,0,10326400,11053488000,740,2022,04
APII,--M-2130000000C143------------,188,0,04 Apr 2022,193,183,191,3,1922500,362061600,312,2022,04
APLI,--U-1130000000B113------------,206,0,04 Apr 2022,206,204,204,-2,26200,5345200,10,2022,04
APLN,--M-1135000000H111------------,118,0,04 Apr 2022,119,116,118,0,7906100,926645000,504,2022,04
ARCI,--M-1835000000B143------------,476,0,04 Apr 2022,480,474,474,-2,4921100,2341861200,816,2022,04
ARGO,--U-2100000000E413-E----------,1390,0,04 Apr 2022,1330,1330,1330,-60,100,133000,1,2022,04
ARII,--U-2130000000A121------------,248,0,04 Apr 2022,248,248,248,0,5400,1339200,6,2022,04
ARKA,--U-2100000000C143------------,50,0,04 Apr 2022,50,50,50,0,1507000,75350000,50,2022,04
ARMY,--U-2130000000H111------------,50,0,04 Apr 2022,0,0,50,0,0,0,0,2022,04
ARNA,XDM-1135000000C121------------,915,0,04 Apr 2022,920,905,915,0,411900,375066500,264,2022,04
ARTA,--U-2100000000E512------------,1860,0,04 Apr 2022,1850,1830,1830,-30,7600,13948000,13,2022,04
ARTI,--U-1100000000A132-E----------,50,0,04 Apr 2022,0,0,50,0,0,0,0,2022,04
ARTO,--U-2800000000G111------------,14025,0,04 Apr 2022,14200,13700,13800,-225,13284700,184157235000,11628,2022,04
ASBI,--U-2100000000G412------------,290,0,04 Apr 2022,294,292,292,2,10800,3164000,12,2022,04
ASDM,--U-1100000000G412------------,990,0,04 Apr 2022,990,980,990,0,1400,1376000,6,2022,04
ASGR,--M-1135000000C224------------,875,0,04 Apr 2022,940,875,935,60,3408800,3118342500,940,2022,04
ASII,--MO1UBAC76000C311------------,6700,6775,04 Apr 2022,6825,6675,6825,125,29374100,198568807500,6517,2022,04
ASJT,--U-2100000000G412------------,127,0,04 Apr 2022,131,127,127,0,98700,12625800,16,2022,04
ASLC,--U-2130000000E745------------,256,0,04 Apr 2022,260,246,248,-8,38705300,9740428600,2143,2022,04
ASMI,--U-1105000000G412------------,174,0,04 Apr 2022,178,174,177,3,35100,6225200,24,2022,04
ASPI,--U-2130000000H111------------,76,0,04 Apr 2022,77,73,76,0,1831600,138468000,151,2022,04
ASRI,--M-1835M40000H111------------,172,0,04 Apr 2022,172,164,167,-5,27627100,4598774800,2290,2022,04
ASRM,--U-2100000000G412------------,1585,0,04 Apr 2022,1600,1550,1560,-25,400,630500,4,2022,04
ASSA,--M-1825946000K132------------,2600,0,04 Apr 2022,2720,2600,2700,100,11657600,31383098000,3810,2022,04
ATAP,--U-2130000000H111------------,133,0,04 Apr 2022,137,132,134,1,2183300,292350800,628,2022,04
ATIC,--U-1105000000I121------------,505,0,04 Apr 2022,510,500,505,0,43300,21803500,71,2022,04
AUTO,--M-1135000000E111------------,1100,0,04 Apr 2022,1125,1095,1115,15,2567000,2862374500,841,2022,04
AVIA,--M-1130000000B113------------,765,0,04 Apr 2022,765,750,760,-5,19518400,14785962500,1684,2022,04
AYLS,--U-2130000000B121------------,340,0,04 Apr 2022,352,338,346,6,7245700,2509496800,1596,2022,04
BABP,--U-2105000000G111------------,184,0,04 Apr 2022,188,180,180,-4,113774800,20775445600,5845,2022,04
BACA,--U-2105000000G111------------,200,0,04 Apr 2022,204,200,200,0,7552400,1520867200,647,2022,04
BAJA,--U-2100000000B144------------,280,0,04 Apr 2022,280,270,272,-8,1934700,527393800,337,2022,04
BALI,--M-1135000000J321------------,800,0,04 Apr 2022,805,780,780,-20,430800,338586000,108,2022,04
BANK,--U-2135400000G111------------,2120,0,04 Apr 2022,2270,2050,2230,110,34964400,75325358000,4963,2022,04
BAPA,--U-1130000000H111------------,105,0,04 Apr 2022,107,101,104,-1,6448300,665035800,889,2022,04
BAPI,--U-2130000000H111------------,50,0,04 Apr 2022,50,50,50,0,8600,430000,10,2022,04
BATA,--U-1130000000E412------------,460,0,04 Apr 2022,470,454,466,6,53600,24659000,26,2022,04
BAUT,--U-2130000000E743------------,73,0,04 Apr 2022,78,70,72,-1,63334400,4531085200,5737,2022,04
BAYU,--U-2130000000E513------------,1095,0,04 Apr 2022,1180,1070,1180,85,400,441500,3,2022,04
BBCA,XDMO1UQNCN6000G111------------,7925,7925,04 Apr 2022,7925,7825,7900,-25,57321200,450927217500,12046,2022,04
BBHI,--U-2100000000G111------------,5675,0,04 Apr 2022,5725,5500,5500,-175,2522600,13977092500,2239,2022,04
BBKP,--U-1105000000G111------------,246,0,04 Apr 2022,248,242,246,0,91856700,22426810800,3253,2022,04
BBLD,--U-2100000000G211------------,404,0,04 Apr 2022,0,0,404,0,0,0,0,2022,04
BBMD,--U-1105000000G111------------,2070,0,04 Apr 2022,2160,2070,2150,80,1600,3396000,4,2022,04
BBNI,XDMO1UQSP46000G111------------,8200,8200,04 Apr 2022,8525,8200,8425,225,34743300,291410037500,7972,2022,04
BBRI,XDMO1UQSPB6000G111------------,4730,4730,04 Apr 2022,4730,4660,4700,-30,103902000,486714605000,17875,2022,04
BBRM,--U-1130000000A122------------,51,0,04 Apr 2022,51,50,50,-1,2504800,125762000,126,2022,04
BBSI,--U-2105000000G111------------,5325,0,04 Apr 2022,5325,5250,5300,-25,11200,59432500,16,2022,04
BBSS,--U-2130000000H111------------,52,0,04 Apr 2022,54,52,53,1,3411500,183097100,127,2022,04
BBTN,XDMO1HQRL16000G111------------,1705,1705,04 Apr 2022,1725,1695,1715,10,11782700,20123087000,2318,2022,04
BBYB,--U-1105000000G111------------,2190,0,04 Apr 2022,2220,2050,2110,-80,55478000,116601988000,10364,2022,04
BCAP,--M-1105000000G511------------,272,0,04 Apr 2022,296,270,282,10,176880300,50393241800,11424,2022,04
BCIC,--U-2105000000G111------------,158,0,04 Apr 2022,159,147,150,-8,6097000,909678000,767,2022,04
