,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,-11.43,19,01 Feb 2019,28 Feb 2019,207923600000,15405200,17824,,201902
1,ABBA,-8.18,19,01 Feb 2019,28 Feb 2019,53119579200,490210200,42405,,201902
2,ABDA,13.59,19,01 Feb 2019,28 Feb 2019,30007500,5800,9,,201902
3,ABMM,-1.79,19,01 Feb 2019,28 Feb 2019,6702500,3100,14,,201902
4,ACES,3.24,19,01 Feb 2019,28 Feb 2019,414866498500,235583200,59953,,201902
5,ACST,2.23,19,01 Feb 2019,28 Feb 2019,26767845500,16226000,4022,,201902
6,ADES,-7.94,19,01 Feb 2019,28 Feb 2019,2168286500,2074300,1203,,201902
7,ADHI,-7.98,19,01 Feb 2019,28 Feb 2019,238191982000,150381500,33659,,201902
8,ADMF,8.42,19,01 Feb 2019,28 Feb 2019,38589785000,3766300,1526,,201902
9,ADMG,1.73,19,01 Feb 2019,28 Feb 2019,16650518200,46939900,4907,,201902
10,ADRO,-5.76,19,01 Feb 2019,28 Feb 2019,1771158088500,1326807900,126958,,201902
11,AGII,-4.69,19,01 Feb 2019,28 Feb 2019,1796230500,2779100,1032,,201902
12,AGRO,-0.59,19,01 Feb 2019,28 Feb 2019,59967354000,170336000,17727,,201902
13,AGRS,-9.95,19,01 Feb 2019,28 Feb 2019,455348800,1219800,573,,201902
14,AHAP,0.0,19,01 Feb 2019,28 Feb 2019,64603300,949300,216,,201902
15,AIMS,0.0,19,01 Feb 2019,28 Feb 2019,0,0,0,,201902
16,AISA,0.0,19,01 Feb 2019,28 Feb 2019,0,0,0,,201902
17,AKKU,0.0,19,01 Feb 2019,28 Feb 2019,68197000,1363900,139,,201902
18,AKPI,-5.56,19,01 Feb 2019,28 Feb 2019,11780500,17200,35,,201902
19,AKRA,5.71,19,01 Feb 2019,28 Feb 2019,697861162500,125504900,36763,,201902
20,AKSI,-0.52,19,01 Feb 2019,28 Feb 2019,58546600,154500,195,,201902
21,ALDO,14.18,19,01 Feb 2019,28 Feb 2019,6295624500,3170200,1378,,201902
22,ALKA,20.32,19,01 Feb 2019,28 Feb 2019,46873400,115300,181,,201902
23,ALMI,9.09,19,01 Feb 2019,28 Feb 2019,6606907500,11390200,620,,201902
