Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
AALI,6.03,-36.79,17,05 Jun 2023,27 Jun 2023,104947392500,14261000,13694,D232,2023,06
ABBA,-1.09,-5.21,17,05 Jun 2023,27 Jun 2023,8628641000,91685100,6275,E614,2023,06
ABDA,0.0,-7.53,17,05 Jun 2023,27 Jun 2023,0,0,0,G412,2023,06
ABMM,10.43,35.24,17,05 Jun 2023,27 Jun 2023,101976441000,33933800,17978,C311,2023,06
ACES,7.14,-54.7,17,05 Jun 2023,27 Jun 2023,1331558964500,2003474500,170764,E743,2023,06
ACST,-0.78,-91.77,17,05 Jun 2023,27 Jun 2023,5907233800,45482400,8426,J211,2023,06
ADCP,0.0,-55.38,17,05 Jun 2023,27 Jun 2023,12313617300,202706200,43524,H111,2023,06
ADES,2.42,821.2,17,05 Jun 2023,27 Jun 2023,9470727500,1112800,1951,D212,2023,06
ADHI,33.14,-71.61,17,05 Jun 2023,27 Jun 2023,334675335400,766375600,84611,J211,2023,06
ADMF,10.98,25.0,17,05 Jun 2023,27 Jun 2023,37832645000,3395300,3358,G211,2023,06
ADMG,-3.5,-56.05,17,05 Jun 2023,27 Jun 2023,476462000,3406600,2137,B111,2023,06
ADMR,18.59,825.0,17,05 Jun 2023,27 Jun 2023,408005239000,473410200,79064,A121,2023,06
ADRO,9.31,83.54,17,05 Jun 2023,27 Jun 2023,1890869481000,851576900,152694,A121,2023,06
AGAR,-12.03,112.73,17,05 Jun 2023,27 Jun 2023,2768000,11100,66,D231,2023,06
AGII,-2.08,176.47,17,05 Jun 2023,27 Jun 2023,10973475500,5775300,4807,B111,2023,06
AGRO,9.09,23.87,17,05 Jun 2023,27 Jun 2023,225795308400,590206700,60073,G111,2023,06
AGRS,9.52,-61.34,17,05 Jun 2023,27 Jun 2023,11964122500,134510800,7540,G111,2023,06
AHAP,3.64,-32.94,17,05 Jun 2023,27 Jun 2023,4241776500,69524000,3888,G412,2023,06
AIMS,-5.41,16.67,17,05 Jun 2023,27 Jun 2023,75521200,349700,518,A121,2023,06
AISA,0.0,-15.48,17,05 Jun 2023,27 Jun 2023,9016967300,62956900,14751,D222,2023,06
AKKU,0.0,0.0,17,05 Jun 2023,27 Jun 2023,735610000,14712200,11837,E512,2023,06
AKPI,-5.34,30.0,17,05 Jun 2023,27 Jun 2023,326719500,329000,454,B113,2023,06
AKRA,4.03,-66.9,17,05 Jun 2023,27 Jun 2023,1064056349000,733683300,92365,A112,2023,06
AKSI,-7.21,-47.72,17,05 Jun 2023,27 Jun 2023,232028900,1113000,724,K211,2023,06
ALDO,-1.64,-10.45,17,05 Jun 2023,27 Jun 2023,1646937000,2723400,939,B131,2023,06
ALKA,-0.56,19.33,17,05 Jun 2023,27 Jun 2023,158099200,440300,473,B141,2023,06
ALMI,-6.61,-43.5,17,05 Jun 2023,27 Jun 2023,262882800,1181900,558,B141,2023,06
ALTO,0.0,-87.5,17,05 Jun 2023,27 Jun 2023,10340000,206800,136,D212,2023,06
AMAG,-3.21,11.04,17,05 Jun 2023,27 Jun 2023,4357623200,11763300,1936,G412,2023,06
AMAN,-29.69,22.73,17,05 Jun 2023,27 Jun 2023,81686687100,475028400,41662,H111,2023,06
AMAR,-3.33,66.67,17,05 Jun 2023,27 Jun 2023,46415204000,154615900,11123,G111,2023,06
AMFG,5.42,44.99,17,05 Jun 2023,27 Jun 2023,10925557500,2020600,1331,C121,2023,06
AMIN,-13.43,-72.9,17,05 Jun 2023,27 Jun 2023,1514929500,12975200,3452,C143,2023,06
AMMS,-8.7,-58.0,17,05 Jun 2023,27 Jun 2023,860637900,19284100,2285,D231,2023,06
