,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
0,AALI,4.9,18,03 Agt 2020,31 Agt 2020,450511712500,45253100,35097,12--,202008
1,ABBA,0.0,18,03 Agt 2020,31 Agt 2020,2332946300,45802900,2237,95--,202008
2,ABDA,-1.78,18,03 Agt 2020,31 Agt 2020,2070000,300,2,84--,202008
3,ABMM,-11.16,18,03 Agt 2020,31 Agt 2020,50499000,51200,145,98--,202008
4,ACES,-11.71,18,03 Agt 2020,31 Agt 2020,460939392500,282543000,88366,93--,202008
5,ACST,30.83,18,03 Agt 2020,31 Agt 2020,72560368100,176775500,24489,62--,202008
6,ADES,23.74,18,03 Agt 2020,31 Agt 2020,5327355000,4486400,2999,51--,202008
7,ADHI,-0.83,18,03 Agt 2020,31 Agt 2020,142658505000,239320600,25918,62--,202008
8,ADMF,-2.53,18,03 Agt 2020,31 Agt 2020,21313537500,2768800,4768,82--,202008
9,ADMG,6.96,18,03 Agt 2020,31 Agt 2020,8064932400,70015900,8118,34--,202008
10,ADRO,0.0,18,03 Agt 2020,31 Agt 2020,1206133879500,1088353200,121979,21--,202008
11,AGAR,2.41,18,03 Agt 2020,31 Agt 2020,56585600,116000,114,91--,202008
12,AGII,-8.62,18,03 Agt 2020,31 Agt 2020,4015359800,7891800,2316,34--,202008
13,AGRO,63.79,18,03 Agt 2020,31 Agt 2020,1166174347800,3577729600,173608,81--,202008
14,AGRS,22.58,18,03 Agt 2020,31 Agt 2020,532598500,3086400,892,81--,202008
15,AHAP,3.77,18,03 Agt 2020,31 Agt 2020,88853200,1675700,391,84--,202008
16,AIMS,-13.89,18,03 Agt 2020,31 Agt 2020,28334300,155000,135,91--,202008
17,AISA,-6.55,18,03 Agt 2020,31 Agt 2020,3132189100,19950200,1016,51--,202008
18,AKKU,0.0,18,03 Agt 2020,31 Agt 2020,5170000,103400,12,94--,202008
19,AKPI,6.16,18,03 Agt 2020,31 Agt 2020,241827800,833300,166,35--,202008
20,AKRA,0.69,18,03 Agt 2020,31 Agt 2020,1088504075000,378202400,49278,91--,202008
21,AKSI,2.96,18,03 Agt 2020,31 Agt 2020,684274000,2483200,1124,74--,202008
22,ALDO,-3.08,18,03 Agt 2020,31 Agt 2020,356682000,896100,97,38--,202008
23,ALKA,-24.44,18,03 Agt 2020,31 Agt 2020,75020400,250600,232,33--,202008
24,ALMI,2.91,18,03 Agt 2020,31 Agt 2020,128832000,587100,168,33--,202008
25,ALTO,1.76,18,03 Agt 2020,31 Agt 2020,108427400,312500,163,51--,202008
26,AMAG,-16.94,18,03 Agt 2020,31 Agt 2020,2899090200,13238800,2446,84--,202008
27,AMAN,25.51,18,03 Agt 2020,31 Agt 2020,2760399200,12156500,883,61--,202008
28,AMAR,-3.74,18,03 Agt 2020,31 Agt 2020,1420701000,3940000,1000,81--,202008
29,AMFG,-5.19,18,03 Agt 2020,31 Agt 2020,1046498000,404500,146,32--,202008
30,AMIN,-7.46,18,03 Agt 2020,31 Agt 2020,8309200,32800,88,41--,202008
31,AMOR,7.61,18,03 Agt 2020,31 Agt 2020,1454575500,733900,177,83--,202008
32,AMRT,-3.38,18,03 Agt 2020,31 Agt 2020,9073029500,12418800,3843,93--,202008
33,ANDI,0.0,18,03 Agt 2020,31 Agt 2020,217900000,4358000,332,12--,202008
