,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID
0,AALI,23.26,245,02 Jan 2019,30 Dec 2019,2567630882500,218824400,207339,
1,ABBA,10.42,245,02 Jan 2019,30 Dec 2019,1897695594100,12265009500,718972,
2,ABDA,0.0,245,02 Jan 2019,30 Dec 2019,120297500,22600,55,
3,ABMM,-32.6,245,02 Jan 2019,30 Dec 2019,1380052500,817800,1069,
4,ACES,0.34,245,02 Jan 2019,30 Dec 2019,7594236357500,4451148700,1035963,
5,ACST,-37.62,245,02 Jan 2019,30 Dec 2019,118120087000,85724500,27563,
6,ADES,13.59,245,02 Jan 2019,30 Dec 2019,19301106000,17839600,12170,
7,ADHI,-25.87,245,02 Jan 2019,30 Dec 2019,3276491123500,2147321800,404932,
8,ADMF,14.29,245,02 Jan 2019,30 Dec 2019,518072725000,50663500,16301,
9,ADMG,-40.76,245,02 Jan 2019,30 Dec 2019,118104607600,426904100,50823,
10,ADRO,27.98,245,02 Jan 2019,30 Dec 2019,19176242195000,14319625700,1330615,
11,AGII,2.21,245,02 Jan 2019,30 Dec 2019,107397355000,179949200,26154,
12,AGRO,-36.13,245,02 Jan 2019,30 Dec 2019,309290007900,1123418500,133870,
13,AGRS,-43.28,245,02 Jan 2019,30 Dec 2019,8430782300,27921000,10713,
14,AHAP,-29.41,245,02 Jan 2019,30 Dec 2019,26102939700,325461800,35914,
15,AIMS,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,
16,AISA,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,
17,AKKU,0.0,245,02 Jan 2019,30 Dec 2019,8567913300,158266600,7984,
18,AKPI,-50.67,245,02 Jan 2019,30 Dec 2019,1409911500,3272800,1744,
19,AKRA,-7.93,245,02 Jan 2019,30 Dec 2019,7988110521500,1882625100,501774,
20,AKSI,190.61,245,02 Jan 2019,30 Dec 2019,180292727800,212835800,21372,
21,ALDO,-36.12,245,02 Jan 2019,30 Dec 2019,20615506600,40346500,12877,
22,ALKA,39.33,245,02 Jan 2019,30 Dec 2019,842162900,2020300,1841,
23,ALMI,-10.5,245,02 Jan 2019,30 Dec 2019,24471367300,41766500,3995,
24,ALTO,-0.5,245,02 Jan 2019,30 Dec 2019,103340611800,271593400,5796,
25,AMAG,-9.2,245,02 Jan 2019,30 Dec 2019,446650000,1570600,550,
26,AMFG,-7.05,245,02 Jan 2019,30 Dec 2019,26693092500,5932000,2066,
27,AMIN,-27.1,245,02 Jan 2019,30 Dec 2019,3377533000,7649500,1965,
28,AMRT,-5.88,245,02 Jan 2019,30 Dec 2019,78475684000,89618500,15387,
29,ANDI,-97.5,245,02 Jan 2019,30 Dec 2019,3701850303000,2735082400,113933,
30,ANJT,-13.04,245,02 Jan 2019,30 Dec 2019,21753306000,23418300,3872,
31,ANTM,9.8,245,02 Jan 2019,30 Dec 2019,22500774455000,23820712400,1469251,
32,APEX,-79.4,245,02 Jan 2019,30 Dec 2019,820058200,1349400,1415,
33,APIC,27.78,245,02 Jan 2019,30 Dec 2019,2408176590500,3768551100,502903,
34,APII,-1.08,245,02 Jan 2019,30 Dec 2019,5873149400,28695100,14881,
35,APLI,113.1,245,02 Jan 2019,30 Dec 2019,8151826200,78007600,21663,
36,APLN,16.45,245,02 Jan 2019,30 Dec 2019,2507847803600,11390347600,522135,
37,APOL,-13.79,245,02 Jan 2019,30 Dec 2019,233021000,4660400,198,
38,ARGO,0.0,245,02 Jan 2019,30 Dec 2019,0,0,0,
39,ARII,-21.67,245,02 Jan 2019,30 Dec 2019,6063464500,7561800,1610,
40,ARMY,-84.28,245,02 Jan 2019,30 Dec 2019,5599747408000,21541259700,59957,
41,ARNA,3.81,245,02 Jan 2019,30 Dec 2019,104550287400,215117100,21435,
42,ARTA,-65.65,245,02 Jan 2019,30 Dec 2019,491458100,688000,1374,
43,ARTI,0.0,245,02 Jan 2019,30 Dec 2019,517895000,10357900,7212,
44,ARTO,1584.78,245,02 Jan 2019,30 Dec 2019,20985461200,18762500,10737,
45,ASBI,23.2,245,02 Jan 2019,30 Dec 2019,293503600,891600,665,
46,ASDM,-6.44,245,02 Jan 2019,30 Dec 2019,701374000,656400,539,
47,ASGR,-28.57,245,02 Jan 2019,30 Dec 2019,61601561000,51208600,14455,
48,ASII,-15.81,245,02 Jan 2019,30 Dec 2019,57516009425000,7970208800,1387682,
49,ASJT,-66.94,245,02 Jan 2019,30 Dec 2019,9204813000,52150000,7492,
50,ASMI,83.57,245,02 Jan 2019,30 Dec 2019,213428563500,279729000,35744,
51,ASRI,-23.72,245,02 Jan 2019,30 Dec 2019,735179758400,2286539700,191770,
52,ASRM,-14.47,245,02 Jan 2019,30 Dec 2019,2049396000,937600,937,
53,ASSA,103.3,245,02 Jan 2019,30 Dec 2019,1525209752200,2200754200,94226,
54,ATIC,-28.89,245,02 Jan 2019,30 Dec 2019,596959500,728400,1036,
55,ATPK,0.0,181,02 Jan 2019,27 Sep 2019,0,0,0,
56,AUTO,-15.65,245,02 Jan 2019,30 Dec 2019,290186003500,207026900,66551,
57,BABP,0.0,245,02 Jan 2019,30 Dec 2019,135456538600,2357298700,72181,
58,BACA,0.0,245,02 Jan 2019,30 Dec 2019,56394855600,187387600,27663,
59,BAJA,-45.13,245,02 Jan 2019,30 Dec 2019,19498210400,200906200,28532,
60,BALI,-30.13,245,02 Jan 2019,30 Dec 2019,398268129500,272512300,8616,
61,BAPA,-34.86,245,02 Jan 2019,30 Dec 2019,17644629900,224261700,13488,
62,BATA,10.0,245,02 Jan 2019,30 Dec 2019,5517506500,9129000,4157,
